Entry_DealID,Entry_Company,Entry_DealDate,Entry_DealSize,Entry_DealType,Entry_DealType2,Entry_DealType3,Exit_DealID,Exit_Company,Exit_DealDate,Exit_DealSize,Exit_DealType,Exit_DealType2,Exit_DealType3,HoldingYears,AbsDaysAfter
59557-96T,The Fresh Market,2016-04-27,1400.0,Buyout/LBO,Public to Private,Management Buyout,193815-82T,The Fresh Market,2022-07-05,681.1,Merger/Acquisition,,,6.187542778918549,2260
11059-12T,TriZetto Provider Solutions,2008-08-05,1400.0,Buyout/LBO,Public to Private,,36730-63T,TriZetto Provider Solutions,2014-11-20,2627.8,Merger/Acquisition,,,6.291581108829569,2298
69954-85T,Krispy Kreme Doughnuts (NAS: DNUT),2016-07-27,1350.0,Buyout/LBO,Public to Private,,171676-99T,Krispy Kreme Doughnuts (NAS: DNUT),2021-07-01,500.0,IPO,,,4.9281314168377826,1800
19904-23T,Blue Coat Systems,2012-02-15,1300.0,Buyout/LBO,Secondary Buyout,Public to Private,71446-51T,Blue Coat Systems,2016-08-01,4673.0,Merger/Acquisition,,,4.459958932238193,1629
10860-58T,Bright Horizons Family Solutions (NYS: BFAM),2008-05-28,1300.0,Buyout/LBO,Public to Private,,22457-53T,Bright Horizons Family Solutions (NYS: BFAM),2013-01-25,222.2,IPO,,,4.662559890485968,1703
10467-55T,Intergraph,2006-11-29,1300.0,Buyout/LBO,Public to Private,,16800-85T,Intergraph,2010-07-01,2125.0,Merger/Acquisition,,,3.586584531143053,1310
24971-68T,NFP,2013-07-01,1300.0,Buyout/LBO,Public to Private,,248044-06T,NFP,2024-04-25,9129.0,Merger/Acquisition,,,10.817248459958932,3951
25868-71T,Sports Authority,2006-05-03,1300.0,Buyout/LBO,Secondary Buyout,Public to Private,76630-96T,Sports Authority,2016-06-30,15.0,Merger/Acquisition,,,10.160164271047227,3711
11613-25T,Aptalis Pharma,2008-02-20,1291.17,Buyout/LBO,Public to Private,,30790-36T,Aptalis Pharma,2014-02-06,2900.0,Merger/Acquisition,,,5.963039014373717,2178
10097-83T,Linen's N' Things,2006-02-14,1268.12,Buyout/LBO,Public to Private,,303035-59T,Linen's N' Things,2025-07-31,,Merger/Acquisition,,,19.457905544147845,7107
10367-83T,WillScot (NAS: WSC),2007-10-31,1235.0,Buyout/LBO,Add-on,Public to Private,93087-10T,WillScot (NAS: WSC),2017-11-29,500.0,Reverse Merger,,,10.080766598220396,3682
10181-71T,Serena Software,2006-03-10,1200.0,Buyout/LBO,Public to Private,,68010-85T,Serena Software,2016-05-02,540.0,Merger/Acquisition,,,10.146475017111568,3706
16319-71T,SkillSoft (NYS: SKIL),2010-05-26,1200.0,Buyout/LBO,Public to Private,,157132-27T,SkillSoft (NYS: SKIL),2021-06-14,697.0,Reverse Merger,,,11.052703627652292,4037
10190-98T,Aeroflex,2007-08-15,1185.47,Buyout/LBO,Public to Private,,16530-58T,Aeroflex,2010-11-19,232.88,IPO,,,3.263518138261465,1192
10217-98T,Smart & Final Holdings,2007-05-31,1120.0,Buyout/LBO,Public to Private,,33235-12T,Smart & Final Holdings,2014-09-24,161.4,IPO,,,7.318275154004107,2673
116115-76T,Smart & Final Holdings,2019-06-20,1120.0,Buyout/LBO,Secondary Buyout,Public to Private,172125-55T,Smart & Final Holdings,2021-07-09,620.0,Merger/Acquisition,,,2.0533880903490758,750
21809-26T,Aquity Solutions,2012-08-15,1100.0,Buyout/LBO,Secondary Buyout,Public to Private,244399-87T,Aquity Solutions,2023-10-27,200.0,Merger/Acquisition,,,11.197809719370294,4090
10852-30T,Concentra (NYS: CON),1999-03-22,1100.0,Buyout/LBO,Secondary Buyout,Public to Private,17679-43T,Concentra (NYS: CON),2010-12-21,804.7,Merger/Acquisition,,,11.75085557837098,4292
